Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.1, AHC : 5, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 3, drop rate : 0
Lambda : 0.1, AHC : 5, drop rate : 70
Lambda : 0.1, AHC : 2, drop rate : 49
Lambda : 0.1, AHC : 3, drop rate : 0
Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.1, AHC : 3, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 4, drop rate : 33
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 80
Lambda : 0.1, AHC : 2, drop rate : 74
Lambda : 0.1, AHC : 3, drop rate : 1
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 72
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 60
Lambda : 0.1, AHC : 2, drop rate : 74
Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.1, AHC : 4, drop rate : 0
Lambda : 0.1, AHC : 3, drop rate : 1
Lambda : 0.1, AHC : 3, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 3, drop rate : 0
Lambda : 0.1, AHC : 3, drop rate : 0
Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.1, AHC : 3, drop rate : 0
Lambda : 0.1, AHC : 2, drop rate : 33
Lambda : 0.1, AHC : 2, drop rate : 76
Lambda : 0.1, AHC : 2, drop rate : 73
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.1, AHC : 1, drop rate : 89
Lambda : 0.1, AHC : 2, drop rate : 64
Lambda : 0.1, AHC : 2, drop rate : 69
Lambda : 0.1, AHC : 5, drop rate : 10
Lambda : 0.1, AHC : 2, drop rate : 67
Lambda : 0.1, AHC : 3, drop rate : 15
Lambda : 0.1, AHC : 1, drop rate : 12
Lambda : 0.1, AHC : 2, drop rate : 0
Lambda : 0.1, AHC : 3, drop rate : 8
Lambda : 0.1, AHC : 2, drop rate : 10
Lambda : 0.1, AHC : 1, drop rate : 30
Lambda : 0.1, AHC : 2, drop rate : 11
Lambda : 0.1, AHC : 2, drop rate : 29
Lambda : 0.1, AHC : 2, drop rate : 25
Lambda : 0.1, AHC : 1, drop rate : 95
Lambda : 0.1, AHC : 2, drop rate : 85
Lambda : 0.1, AHC : 2, drop rate : 74
Lambda : 0.1, AHC : 2, drop rate : 17
Lambda : 0.1, AHC : 1, drop rate : 82
Lambda : 0.1, AHC : 3, drop rate : 22
Lambda : 0.1, AHC : 2, drop rate : 78
Lambda : 0.1, AHC : 2, drop rate : 30
Lambda : 0.1, AHC : 2, drop rate : 56
Lambda : 0.1, AHC : 2, drop rate : 49
Lambda : 0.1, AHC : 2, drop rate : 79
Lambda : 0.1, AHC : 2, drop rate : 44
Lambda : 0.1, AHC : 1, drop rate : 74
Lambda : 0.1, AHC : 1, drop rate : 60
Lambda : 0.1, AHC : 2, drop rate : 79
Lambda : 0.1, AHC : 1, drop rate : 77
Lambda : 0.1, AHC : 2, drop rate : 15
Lambda : 0.1, AHC : 2, drop rate : 39
Lambda : 0.1, AHC : 2, drop rate : 43
Lambda : 0.1, AHC : 1, drop rate : 91
Lambda : 0.1, AHC : 2, drop rate : 49
Lambda : 0.1, AHC : 1, drop rate : 69
Lambda : 0.1, AHC : 1, drop rate : 79
Lambda : 0.1, AHC : 1, drop rate : 71
Lambda : 0.1, AHC : 1, drop rate : 80
Lambda : 0.1, AHC : 1, drop rate : 81
Lambda : 0.1, AHC : 1, drop rate : 95
Lambda : 0.1, AHC : 1, drop rate : 84
Lambda : 0.1, AHC : 2, drop rate : 48
Lambda : 0.1, AHC : 1.0, drop rate : 0
Lambda : 0.1, AHC : 2.0, drop rate : 0
Lambda : 0.1, AHC : 3.47, drop rate : 0
Lambda : 0.1, AHC : 3.32, drop rate : 0
Lambda : 0.1, AHC : 4.23, drop rate : 0
Lambda : 0.1, AHC : 3.05, drop rate : 0
Lambda : 0.1, AHC : 3.57, drop rate : 0
Lambda : 0.1, AHC : 3.56, drop rate : 0
Lambda : 0.1, AHC : 1.7017543859649122, drop rate : 43
Lambda : 0.1, AHC : 2.0, drop rate : 37
Lambda : 0.1, AHC : 2.0, drop rate : 71
Lambda : 0.1, AHC : 1.05, drop rate : 60
Lambda : 0.1, AHC : 2.0, drop rate : 71
Lambda : 0.1, AHC : 2.8260869565217392, drop rate : 54
Lambda : 0.1, AHC : 2.0, drop rate : 79
Lambda : 0.1, AHC : 1.0, drop rate : 89
Lambda : 0.5, AHC : 1.0, drop rate : 0
Lambda : 0.5, AHC : 1.0, drop rate : 0
Lambda : 0.5, AHC : 2.0, drop rate : 47
Lambda : 0.5, AHC : 4.28, drop rate : 0
Lambda : 0.5, AHC : 1.0, drop rate : 0
Lambda : 0.5, AHC : 1.0, drop rate : 0
Lambda : 0.5, AHC : 2.0, drop rate : 44
Lambda : 0.5, AHC : 3.0, drop rate : 59
Lambda : 0.5, AHC : 3.0, drop rate : 67
Lambda : 0.5, AHC : 2.0, drop rate : 49
Lambda : 0.5, AHC : 1.0, drop rate : 79
Lambda : 0.5, AHC : 2.232876712328767, drop rate : 27
Lambda : 0.5, AHC : 2.0, drop rate : 58
Lambda : 0.5, AHC : 2.0, drop rate : 90
Lambda : 0.5, AHC : 2.423076923076923, drop rate : 48
Lambda : 0.5, AHC : 3.507936507936508, drop rate : 37
Lambda : 0.5, AHC : 3.2133333333333334, drop rate : 25
Lambda : 0.5, AHC : 2.1702127659574466, drop rate : 53
Lambda : 0.5, AHC : 2.871794871794872, drop rate : 61
Lambda : 0.5, AHC : 1.8717948717948718, drop rate : 61
Lambda : 0.5, AHC : 1.8666666666666667, drop rate : 70
Lambda : 0.5, AHC : 1.8717948717948718, drop rate : 61
Lambda : 0.5, AHC : 1.9811320754716981, drop rate : 47
Lambda : 0.5, AHC : 1.0, drop rate : 90
Lambda : 0.5, AHC : 2.0, drop rate : 55
Lambda : 0.5, AHC : 2.7111111111111112, drop rate : 55
Lambda : 0.5, AHC : 3.0655737704918034, drop rate : 39
Lambda : 0.5, AHC : 1.0, drop rate : 87
Lambda : 0.5, AHC : 2.3529411764705883, drop rate : 66
Lambda : 0.5, AHC : 2.86, drop rate : 50
Lambda : 0.5, AHC : 1.0, drop rate : 0
Lambda : 0.5, AHC : 1.0, drop rate : 0
Lambda : 0.5, AHC : 2.0, drop rate : 0
Lambda : 0.5, AHC : 3.72, drop rate : 50
Lambda : 0.5, AHC : 1.0, drop rate : 82
Lambda : 0.5, AHC : 2.4444444444444446, drop rate : 46
Lambda : 0.5, AHC : 2.0, drop rate : 90
Lambda : 0.5, AHC : 2.45, drop rate : 80
Lambda : 0.5, AHC : 1.0, drop rate : 93
Lambda : 0.5, AHC : 4.055555555555555, drop rate : 64
Lambda : 0.5, AHC : 2.2564102564102564, drop rate : 61
Lambda : 0.5, AHC : 1.0, drop rate : 87
Lambda : 0.5, AHC : 1.0, drop rate : 88
Lambda : 0.5, AHC : 1.0, drop rate : 95
Lambda : 0.5, AHC : 2.84, drop rate : 75
Lambda : 0.5, AHC : 1.5, drop rate : 92
Lambda : 0.5, AHC : 2.0, drop rate : 79
Lambda : 0.5, AHC : 1.0, drop rate : 88
Lambda : 0.5, AHC : 2.814814814814815, drop rate : 73
Lambda : 0.5, AHC : 2.7857142857142856, drop rate : 72
Lambda : 0.5, AHC : 1.3333333333333333, drop rate : 85
Lambda : 0.01, AHC : 1.0, drop rate : 67
Lambda : 0.01, AHC : 1.0, drop rate : 0
Lambda : 0.01, AHC : 4.0, drop rate : 0
Lambda : 0.01, AHC : 3.4328358208955225, drop rate : 33
Lambda : 0.01, AHC : 2.857142857142857, drop rate : 37
Lambda : 0.01, AHC : 4.588235294117647, drop rate : 32
Lambda : 0.01, AHC : 3.260869565217391, drop rate : 31
Lambda : 0.01, AHC : 4.358974358974359, drop rate : 22
Lambda : 0.01, AHC : 4.0, drop rate : 28
Lambda : 0.01, AHC : 4.653846153846154, drop rate : 22
Lambda : 0.01, AHC : 3.1392405063291138, drop rate : 21
Lambda : 0.01, AHC : 2.0, drop rate : 96
Lambda : 0.01, AHC : 2.6785714285714284, drop rate : 16
Lambda : 0.01, AHC : 1.0, drop rate : 94
Lambda : 0.01, AHC : 4.941860465116279, drop rate : 14
